YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,1,1,1,1/1/2024 0:00,AA,19805,2757,ORD,"Chicago, IL",IL,Illinois,JAX,"Jacksonville, FL",Florida,1835,1830,-5,0,0,2139,-17,0,0,129,105,1,864,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2765,ORD,"Chicago, IL",IL,Illinois,PHX,"Phoenix, AZ",Arizona,1326,1331,5,5,0,1610,-12,0,0,219,197,1,1440,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2775,ORD,"Chicago, IL",IL,Illinois,MCO,"Orlando, FL",Florida,1830,1830,0,0,0,2151,-22,0,0,141,119,1,1005,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2779,ORD,"Chicago, IL",IL,Illinois,ATL,"Atlanta, GA",Georgia,1905,1917,12,12,0,2209,7,7,0,112,91,1,606,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2836,ORD,"Chicago, IL",IL,Illinois,AUS,"Austin, TX",Texas,2045,2219,94,94,1,0054,72,72,1,155,132,1,977,54,0,0,0,18
2024,1,1,1,1/1/2024 0:00,AA,19805,2839,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1354,1352,-2,0,0,1606,-25,0,0,134,112,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2840,ORD,"Chicago, IL",IL,Illinois,PHL,"Philadelphia, PA",Pennsylvania,1458,1500,2,2,0,1758,8,8,0,118,96,1,678,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2842,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,0515,0511,-4,0,0,0801,-9,0,0,110,87,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2879,ORD,"Chicago, IL",IL,Illinois,PIT,"Pittsburgh, PA",Pennsylvania,1330,1326,-4,0,0,1606,14,14,0,100,69,1,413,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2880,ORD,"Chicago, IL",IL,Illinois,PSP,"Palm Springs, CA",California,1010,1007,-3,0,0,1240,9,9,0,273,215,1,1651,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2899,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1106,1104,-2,0,0,1323,-24,0,0,139,112,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,2920,ORD,"Chicago, IL",IL,Illinois,TPA,"Tampa, FL",Florida,0838,0830,-8,0,0,1208,-10,0,0,158,123,1,1012,,,,,
